epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,937.72,1.33313,1.84328,1.73122,0.1519,0.33473,0.19613,0.13258,1.23187,4.05056,2.12997,0.0095842,0.0095842,0.0095842
44,958.334,1.31939,1.85293,1.72532,0.16954,0.30667,0.23882,0.14468,1.42071,4.09237,2.2956,0.0095743,0.0095743,0.0095743
45,979.143,1.28979,1.86102,1.69154,0.11788,0.43587,0.2496,0.16203,1.28096,3.98033,2.21489,0.0095644,0.0095644,0.0095644
46,999.912,1.31824,1.90505,1.71523,0.28501,0.29333,0.20629,0.13502,1.20447,4.0886,2.12553,0.0095545,0.0095545,0.0095545
47,1020.77,1.30165,1.81133,1.69542,0.18771,0.34171,0.25553,0.1663,1.18522,4.26718,2.12506,0.0095446,0.0095446,0.0095446
48,1041.48,1.27973,1.74688,1.68845,0.18058,0.37333,0.22703,0.13779,1.3353,4.1777,2.22055,0.0095347,0.0095347,0.0095347
49,1062.23,1.28042,1.80162,1.70011,0.21258,0.40269,0.24047,0.15023,1.15487,3.89328,2.10573,0.0095248,0.0095248,0.0095248
50,1082.89,1.27814,1.75363,1.6923,0.18605,0.34073,0.25432,0.16505,1.22705,3.6435,2.13365,0.0095149,0.0095149,0.0095149
51,1103.55,1.29117,1.75748,1.70378,0.16056,0.37401,0.25595,0.15151,1.28767,3.92767,2.1929,0.009505,0.009505,0.009505
52,1124.17,1.29441,1.77529,1.6932,0.24704,0.36406,0.27127,0.17565,1.21525,3.92119,2.16975,0.0094951,0.0094951,0.0094951
53,1144.84,1.27662,1.77085,1.6788,0.10489,0.33333,0.22038,0.1386,1.2021,3.96841,2.17766,0.0094852,0.0094852,0.0094852
54,1165.57,1.27433,1.84761,1.6732,0.08722,0.32454,0.19758,0.1225,1.39001,4.29163,2.28444,0.0094753,0.0094753,0.0094753
55,1186.27,1.28719,1.7836,1.67938,0.24824,0.33171,0.23837,0.14924,1.29842,4.0244,2.14247,0.0094654,0.0094654,0.0094654
56,1207.02,1.28079,1.75172,1.67412,0.2092,0.32,0.21208,0.13967,1.15658,4.32429,2.10396,0.0094555,0.0094555,0.0094555
57,1227.78,1.26598,1.7448,1.66224,0.2946,0.32137,0.26507,0.15987,1.32547,4.04141,2.21737,0.0094456,0.0094456,0.0094456
58,1248.44,1.27879,1.75153,1.6818,0.19307,0.34955,0.25674,0.16443,1.26631,4.13024,2.14311,0.0094357,0.0094357,0.0094357
59,1269.36,1.25812,1.7453,1.69,0.35289,0.26667,0.30925,0.17791,1.27463,4.02364,2.23611,0.0094258,0.0094258,0.0094258
60,1290.06,1.25839,1.67682,1.66876,0.17213,0.34667,0.25382,0.15382,1.34937,3.71238,2.28978,0.0094159,0.0094159,0.0094159
61,1310.69,1.26351,1.73576,1.67437,0.31056,0.27152,0.24358,0.16041,1.21439,3.83236,2.1173,0.009406,0.009406,0.009406
62,1331.43,1.23358,1.73681,1.67037,0.50056,0.14259,0.22762,0.1179,1.44739,4.0829,2.27119,0.0093961,0.0093961,0.0093961
63,1352.15,1.24706,1.6809,1.66025,0.20309,0.27777,0.17907,0.10464,1.37565,4.68905,2.22713,0.0093862,0.0093862,0.0093862
64,1372.92,1.25,1.69405,1.66307,0.19579,0.4,0.23154,0.1309,1.03174,4.16669,2.00786,0.0093763,0.0093763,0.0093763
65,1393.57,1.26294,1.69664,1.67275,0.22916,0.29333,0.21035,0.14251,1.13472,4.07402,2.11726,0.0093664,0.0093664,0.0093664
66,1414.24,1.2681,1.71473,1.67107,0.19311,0.26699,0.26509,0.16543,1.26945,4.17756,2.16558,0.0093565,0.0093565,0.0093565
67,1434.99,1.26977,1.68054,1.68019,0.28217,0.34588,0.26302,0.1619,1.2901,3.68856,2.12498,0.0093466,0.0093466,0.0093466
68,1455.58,1.2622,1.69005,1.66151,0.15447,0.35598,0.21307,0.12269,1.29123,4.19932,2.15992,0.0093367,0.0093367,0.0093367
69,1476.32,1.25054,1.70078,1.65169,0.17331,0.42667,0.26055,0.16489,1.10024,4.50965,2.00724,0.0093268,0.0093268,0.0093268
70,1497.04,1.25301,1.72852,1.69018,0.15985,0.44,0.22504,0.13788,1.21691,3.96551,2.06172,0.0093169,0.0093169,0.0093169
71,1517.64,1.27781,1.67238,1.68801,0.15463,0.36,0.24173,0.16327,1.14186,3.85702,2.05566,0.009307,0.009307,0.009307
72,1538.27,1.20557,1.67156,1.63266,0.19838,0.3598,0.23076,0.13642,1.29712,4.24655,2.16175,0.0092971,0.0092971,0.0092971
73,1559,1.21675,1.65584,1.64023,0.31486,0.24043,0.24037,0.14678,1.24256,4.0726,2.09783,0.0092872,0.0092872,0.0092872
74,1579.73,1.21856,1.6956,1.63423,0.22675,0.34618,0.29888,0.17433,1.25554,4.01518,2.13653,0.0092773,0.0092773,0.0092773
75,1600.54,1.21723,1.63284,1.64144,0.23183,0.33166,0.29345,0.1916,1.05522,3.88677,1.99588,0.0092674,0.0092674,0.0092674
76,1621.22,1.23278,1.64626,1.63705,0.35222,0.23702,0.22399,0.12598,1.223,4.25852,2.14487,0.0092575,0.0092575,0.0092575
77,1641.95,1.23652,1.65039,1.62958,0.36374,0.25246,0.27021,0.18968,1.11219,3.79368,2.00259,0.0092476,0.0092476,0.0092476
78,1662.64,1.19404,1.57545,1.61825,0.2409,0.36744,0.27561,0.17396,1.16906,3.44518,2.08239,0.0092377,0.0092377,0.0092377
79,1683.29,1.21618,1.62102,1.63764,0.20246,0.36,0.30075,0.19801,1.25146,2.98302,2.20885,0.0092278,0.0092278,0.0092278
80,1704.07,1.19844,1.67495,1.62197,0.1985,0.37511,0.28516,0.16682,1.16521,4.01374,2.09953,0.0092179,0.0092179,0.0092179
81,1724.8,1.22982,1.58544,1.65358,0.27637,0.36555,0.30042,0.18837,1.27836,3.76358,2.18464,0.009208,0.009208,0.009208
82,1745.5,1.20265,1.6132,1.62555,0.28749,0.29868,0.284,0.18767,1.0965,3.88444,1.98145,0.0091981,0.0091981,0.0091981
83,1766.25,1.20271,1.59609,1.62377,0.21955,0.37888,0.27007,0.16058,1.23685,4.02899,2.14065,0.0091882,0.0091882,0.0091882
84,1787.16,1.17989,1.58323,1.61239,0.22431,0.32507,0.27124,0.15961,1.34238,3.64844,2.22054,0.0091783,0.0091783,0.0091783
85,1807.9,1.22174,1.59124,1.62423,0.18125,0.34069,0.24374,0.14661,1.27823,4.36387,2.15234,0.0091684,0.0091684,0.0091684
86,1828.65,1.27861,1.62004,1.69397,0.23544,0.28733,0.22897,0.14839,1.1789,4.05936,2.07594,0.0091585,0.0091585,0.0091585
87,1849.44,1.2127,1.6324,1.62768,0.32673,0.26667,0.28095,0.19021,1.31473,3.38667,2.31193,0.0091486,0.0091486,0.0091486
88,1870.1,1.21955,1.60695,1.63846,0.25974,0.25333,0.23545,0.14109,1.14146,4.0869,2.04707,0.0091387,0.0091387,0.0091387
89,1890.83,1.17063,1.55561,1.60375,0.27745,0.34286,0.26386,0.16402,1.3445,3.89805,2.22176,0.0091288,0.0091288,0.0091288
90,1911.56,1.21709,1.56276,1.63246,0.24776,0.37333,0.24198,0.15828,1.19989,3.53331,2.0901,0.0091189,0.0091189,0.0091189
91,1932.44,1.20345,1.57926,1.63001,0.23133,0.34062,0.30229,0.19782,1.10728,3.32241,2.00563,0.009109,0.009109,0.009109
92,1953.14,1.20129,1.55787,1.62382,0.22236,0.35569,0.27509,0.17203,1.22315,3.25963,2.13408,0.0090991,0.0090991,0.0090991
93,1973.86,1.19506,1.58608,1.6146,0.43554,0.1816,0.27208,0.17878,1.22236,3.40964,2.10052,0.0090892,0.0090892,0.0090892
94,1994.58,1.20186,1.60064,1.6216,0.20076,0.35299,0.23954,0.15875,1.36873,3.74835,2.21018,0.0090793,0.0090793,0.0090793
95,2015.43,1.20502,1.53354,1.62238,0.32477,0.30667,0.33753,0.23483,1.15994,3.52227,2.04506,0.0090694,0.0090694,0.0090694
96,2036.2,1.21424,1.56248,1.64037,0.23247,0.29917,0.28317,0.17154,1.3507,3.03446,2.1929,0.0090595,0.0090595,0.0090595
97,2057.08,1.19206,1.56019,1.61159,0.22888,0.31501,0.25059,0.16432,1.42098,3.01235,2.2907,0.0090496,0.0090496,0.0090496
98,2077.84,1.18798,1.57597,1.61367,0.2862,0.25333,0.2318,0.14948,1.28223,3.74883,2.19951,0.0090397,0.0090397,0.0090397
99,2098.66,1.18981,1.58037,1.60793,0.23043,0.37161,0.27444,0.17421,1.15541,3.97541,2.08286,0.0090298,0.0090298,0.0090298
100,2119.45,1.19726,1.56954,1.61504,0.24453,0.39836,0.28247,0.16572,1.23673,3.48945,2.13469,0.0090199,0.0090199,0.0090199
101,2140.24,1.17287,1.53868,1.59798,0.34266,0.28,0.29262,0.1784,1.19092,3.35774,2.1237,0.00901,0.00901,0.00901
102,2161.05,1.18784,1.57637,1.60665,0.25395,0.31405,0.29445,0.17747,1.20332,3.82425,2.11285,0.0090001,0.0090001,0.0090001
103,2181.91,1.17191,1.56318,1.60822,0.36948,0.2884,0.28465,0.19532,0.9876,3.53974,1.9543,0.0089902,0.0089902,0.0089902
104,2202.65,1.20119,1.52279,1.63271,0.22052,0.29051,0.25936,0.16597,1.28103,3.59241,2.16472,0.0089803,0.0089803,0.0089803
105,2223.55,1.19722,1.52688,1.62516,0.35796,0.31874,0.27084,0.16914,1.17678,3.9047,2.01917,0.0089704,0.0089704,0.0089704
106,2244.38,1.15872,1.54432,1.58702,0.27452,0.33082,0.31099,0.19801,1.12613,3.96088,1.98444,0.0089605,0.0089605,0.0089605
107,2265.21,1.14975,1.48684,1.5828,0.2473,0.33333,0.26355,0.18134,1.20195,3.59298,2.13193,0.0089506,0.0089506,0.0089506
108,2286,1.17157,1.47804,1.58171,0.17729,0.30524,0.20171,0.13899,1.44027,3.97791,2.34715,0.0089407,0.0089407,0.0089407
109,2306.84,1.16774,1.50745,1.60592,0.18441,0.27389,0.20099,0.12571,1.30426,3.43618,2.15091,0.0089308,0.0089308,0.0089308
110,2327.94,1.19456,1.54674,1.61486,0.25484,0.31314,0.22092,0.14039,1.27115,3.62519,2.18295,0.0089209,0.0089209,0.0089209
111,2348.79,1.16146,1.53566,1.57982,0.16752,0.33447,0.24299,0.14445,1.22058,3.59932,2.108,0.008911,0.008911,0.008911
