Фактор,Натуральный коэффициент
R1,-0.07173633572062092
R2,-0.06747005947975711
R3,-2.259872617881146
C1,8.346985946908192e-08
L1,0.01356422973973821
R1*R2,-0.5468461183126422
R1*R3,14.730667140251944
R1*C1,1.447606698955472e-09
R1*L1,-9.798688035490565e-05
R2*R3,5.970753320266305
R2*C1,5.423673788696588e-10
R2*L1,-5.407898832301996e-05
R3*C1,1.141677701404012e-08
R3*L1,-0.007033182124158015
C1*L1,-2.8021615483339996e-14
b0,1.5369511586669442
