epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,104.884,1.20518,2.45865,1.72995,0.33339,0.01333,3e-05,1e-05,4.92355,inf,37.0959,0.0209593,0.00795928,0.00795928
45,107.584,1.30396,2.51345,1.79856,0.26685,0.12,0.00033,5e-05,4.42137,inf,31.451,0.0191246,0.00812463,0.00812463
46,109.981,1.37229,2.52742,1.78497,0.26685,0.12,0.00033,5e-05,5.28708,161.619,56.0181,0.0172892,0.00828919,0.00828919
47,112.235,1.23947,2.38078,1.63498,0.40084,0.02667,0.00042,0.00013,4.77005,229.739,31.0832,0.015453,0.00845296,0.00845296
48,114.381,1.43799,2.51354,1.8733,0.26852,0.10667,0.00378,0.00066,2.84092,80.313,6.89296,0.0136159,0.00861593,0.00861593
49,116.514,1.40947,2.58126,1.89417,0.26775,0.14667,0.00085,0.00016,3.6277,inf,14.5474,0.0117781,0.00877811,0.00877811
50,119.243,1.35449,2.50393,1.91081,0.00179,0.2,0.00361,0.00067,3.99002,inf,15.2766,0.0099395,0.0089395,0.0089395
51,121.357,1.51643,2.71372,1.91865,0.00122,0.16,0.0016,0.00027,4.27968,inf,12.1913,0.00901,0.00901,0.00901
52,123.447,1.34621,2.4347,1.78288,0.07488,0.01333,0.00296,0.00039,4.60226,inf,14.3901,0.0089902,0.0089902,0.0089902
53,125.561,1.33164,2.48838,1.82091,0.07488,0.01333,0.00296,0.00039,5.21238,inf,19.5042,0.0089704,0.0089704,0.0089704
54,128.289,1.2079,2.42264,1.82259,0.07488,0.01333,0.00296,0.00039,4.81761,inf,22.8402,0.0089506,0.0089506,0.0089506
55,130.689,1.41523,2.60048,1.85276,0.00015,0.04,0.00018,2e-05,4.60716,inf,14.1275,0.0089308,0.0089308,0.0089308
56,132.762,1.3256,2.48693,1.8687,1e-05,0.01333,1e-05,0,4.53587,8.23658,9.53091,0.008911,0.008911,0.008911
57,134.838,1.30891,2.47613,1.75377,0.35619,0.01333,0.00829,0.00239,3.84995,5.19909,9.50409,0.0088912,0.0088912,0.0088912
58,136.896,1.20611,2.35158,1.74162,0.27732,0.09333,0.01578,0.00368,3.05695,21.3334,7.67896,0.0088714,0.0088714,0.0088714
59,139.382,1.39725,2.38209,1.88109,0.20467,0.16,0.00646,0.00179,3.31531,12.4195,6.71826,0.0088516,0.0088516,0.0088516
60,142.268,1.42706,2.80775,1.87978,0.00065,0.14667,0.00498,0.00191,3.45667,45.0303,5.42032,0.0088318,0.0088318,0.0088318
61,144.688,1.34692,2.51691,1.89935,0.00068,0.14667,0.00074,0.0002,3.73861,19.9878,8.41248,0.008812,0.008812,0.008812
62,146.994,1.26562,2.53852,1.73686,0.00101,0.2,0.00186,0.00044,3.40544,6.92,6.72588,0.0087922,0.0087922,0.0087922
63,149.447,1.40209,2.42464,1.87693,0.0035,0.16,0.00417,0.00125,2.75672,24.3559,5.25747,0.0087724,0.0087724,0.0087724
