epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,351.58,1.21675,1.13903,1.69175,0.5044,0.72518,0.79793,0.51781,1.65406,1.28378,2.53459,0.0095842,0.0095842,0.0095842
44,359.76,1.20729,1.16075,1.68589,0.68529,0.67781,0.7569,0.42717,1.71975,1.17937,2.66238,0.0095743,0.0095743,0.0095743
45,367.954,1.15904,1.11313,1.6727,0.74768,0.39975,0.47648,0.31769,1.52951,2.21919,2.68934,0.0095644,0.0095644,0.0095644
46,376.145,1.24695,1.2068,1.71228,0.61542,0.62115,0.66482,0.38456,1.67294,1.43801,2.59466,0.0095545,0.0095545,0.0095545
47,384.426,1.15433,1.1451,1.62796,0.42821,0.60454,0.63794,0.43656,1.68453,1.79904,2.97148,0.0095446,0.0095446,0.0095446
48,393.006,1.17252,1.17985,1.66239,0.50201,0.68468,0.69434,0.43221,1.61622,1.77046,2.74773,0.0095347,0.0095347,0.0095347
49,401.541,1.17967,1.09655,1.65675,0.54123,0.57711,0.69401,0.46771,1.59187,1.76208,2.85726,0.0095248,0.0095248,0.0095248
50,409.544,1.2044,1.12807,1.67122,0.4898,0.66667,0.63034,0.4052,1.64194,1.42951,2.80099,0.0095149,0.0095149,0.0095149
51,417.613,1.17037,1.118,1.67137,0.61175,0.69974,0.72283,0.41426,1.65671,1.1941,2.66829,0.009505,0.009505,0.009505
52,425.65,1.20132,1.13708,1.66738,0.65807,0.67218,0.70115,0.45277,1.55287,1.23712,2.65459,0.0094951,0.0094951,0.0094951
53,433.666,1.15633,1.09229,1.64607,0.82649,0.26667,0.33595,0.1879,2.19373,2.99213,3.69361,0.0094852,0.0094852,0.0094852
54,441.648,1.18199,1.16567,1.67165,0.62109,0.84262,0.75275,0.50751,1.43358,1.01318,2.48217,0.0094753,0.0094753,0.0094753
55,449.678,1.14896,1.15395,1.63801,0.32201,0.51279,0.48083,0.31195,1.92506,2.20633,3.39521,0.0094654,0.0094654,0.0094654
56,457.679,1.14947,1.09052,1.62652,0.80853,0.67654,0.76042,0.42525,1.607,1.45547,2.56581,0.0094555,0.0094555,0.0094555
57,465.675,1.18745,1.1036,1.67504,0.67993,0.6566,0.70701,0.49095,1.5751,1.2162,2.68772,0.0094456,0.0094456,0.0094456
58,473.682,1.18219,1.05616,1.66321,0.66882,0.76897,0.74384,0.45729,1.62316,0.90818,2.97946,0.0094357,0.0094357,0.0094357
59,481.721,1.21015,1.07699,1.68637,0.63134,0.90465,0.87292,0.46072,1.58395,1.03424,2.55138,0.0094258,0.0094258,0.0094258
60,489.724,1.12964,1.03051,1.62807,0.71061,0.84858,0.76066,0.4796,1.46957,1.22482,2.43829,0.0094159,0.0094159,0.0094159
61,498.185,1.21856,1.02893,1.67425,0.70356,0.73333,0.69328,0.46534,1.60024,0.87562,2.72851,0.009406,0.009406,0.009406
62,506.248,1.09924,1.07733,1.61185,0.7256,0.89256,0.88389,0.50757,1.57488,0.82916,2.46439,0.0093961,0.0093961,0.0093961
63,514.211,1.15967,1.07432,1.63844,0.82346,0.77768,0.81643,0.52443,1.51923,0.91592,2.47734,0.0093862,0.0093862,0.0093862
64,522.173,1.13151,1.05528,1.63118,0.63108,0.73333,0.64145,0.40046,1.58342,1.46518,2.42653,0.0093763,0.0093763,0.0093763
65,530.319,1.15072,1.03157,1.62169,0.74557,0.7377,0.80016,0.41819,1.57436,1.24138,2.39037,0.0093664,0.0093664,0.0093664
66,538.339,1.15682,1.04952,1.65311,0.59626,0.59149,0.70576,0.43781,1.68727,1.3642,2.77454,0.0093565,0.0093565,0.0093565
67,546.386,1.15053,1.0317,1.64361,0.72114,0.77687,0.72173,0.47388,1.58271,1.0057,2.74645,0.0093466,0.0093466,0.0093466
