epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,736.936,1.41587,1.46985,1.94473,0.06146,0.09677,0.03618,0.00886,2.92005,4.59049,4.7001,0.009109,0.009109,0.009109
47,752.523,1.26006,1.47185,1.73414,0.08604,0.17294,0.06696,0.0177,2.94086,3.75189,4.77925,0.0090892,0.0090892,0.0090892
48,768.173,1.34259,1.3878,1.7629,0.67012,0.1129,0.1053,0.03978,2.65031,3.84818,4.35198,0.0090694,0.0090694,0.0090694
49,784.598,1.44102,1.70308,2.00614,0.10146,0.5009,0.13126,0.05436,2.31071,2.78935,4.08797,0.0090496,0.0090496,0.0090496
50,801.827,1.34586,1.47358,1.84692,0.68754,0.33871,0.23068,0.09016,1.99806,2.12206,3.72596,0.0090298,0.0090298,0.0090298
51,818.17,1.32648,1.44311,1.80022,0.2609,0.56272,0.33955,0.13916,1.74031,1.89598,3.4671,0.00901,0.00901,0.00901
52,835.508,1.37833,1.44879,1.86248,0.06845,0.51703,0.07055,0.02303,1.98558,4.10988,3.46125,0.0089902,0.0089902,0.0089902
53,851.872,1.34183,1.46277,1.78356,0.00013,0.06452,8e-05,2e-05,2.68273,62.7282,3.78169,0.0089704,0.0089704,0.0089704
54,867.981,1.41694,1.4781,1.80081,0,0,0,0,3.03579,381.587,4.12611,0.0089506,0.0089506,0.0089506
55,883.777,1.5093,1.60708,1.95871,0,0,0,0,3.06066,633.824,4.27916,0.0089308,0.0089308,0.0089308
56,899.632,1.35145,1.50006,1.74355,3e-05,0.01613,2e-05,0,2.58603,237.076,3.81312,0.008911,0.008911,0.008911
57,915.58,1.39266,1.48794,1.83197,0.00796,0.16846,0.0048,0.00091,2.09462,56.7627,3.60282,0.0088912,0.0088912,0.0088912
58,931.242,1.28929,1.42546,1.76568,0.07652,0.67204,0.06713,0.02864,1.8764,21.7658,3.64862,0.0088714,0.0088714,0.0088714
59,947.089,1.41165,1.6298,1.96276,0.64753,0.30645,0.26,0.0949,1.9278,12.7381,3.73942,0.0088516,0.0088516,0.0088516
60,962.776,1.26067,1.39689,1.7207,0.24644,0.66039,0.32935,0.1326,2.00468,8.36391,3.83394,0.0088318,0.0088318,0.0088318
61,978.533,1.36213,1.50029,1.82831,0.20911,0.65143,0.25334,0.10706,2.26956,6.06627,4.00269,0.008812,0.008812,0.008812
